,yr_built,bedrooms,sqft_living,price
0,1955,3.0,1340,313000.0
1,1921,5.0,3650,2384000.0
2,1966,3.0,1930,342000.0
3,1963,3.0,2000,420000.0
4,1976,4.0,1940,550000.0
5,1938,2.0,880,490000.0
6,1976,2.0,1350,335000.0
7,1989,4.0,2710,482000.0
8,1985,3.0,2430,452500.0
9,1945,4.0,1520,640000.0
10,1948,3.0,1710,463000.0
11,1909,4.0,2920,1400000.0
12,1980,3.0,2330,588500.0
13,1955,3.0,1090,365000.0
14,1939,5.0,2910,1200000.0
15,1965,3.0,1200,242500.0
16,1956,3.0,1570,419000.0
17,1997,4.0,3110,367500.0
18,1987,3.0,1370,257950.0
19,1983,3.0,1180,275000.0
20,1923,3.0,2240,750000.0
21,1954,4.0,1450,435000.0
22,2005,3.0,1750,626000.0
23,1991,4.0,2730,612500.0
24,1959,4.0,1600,495000.0
25,1987,3.0,2090,285000.0
26,1948,3.0,2360,615000.0
27,1920,4.0,2200,698000.0
28,1979,5.0,2820,675000.0
29,1951,3.0,2600,790000.0
30,1967,4.0,1560,382500.0
31,2004,4.0,2860,499950.0
32,1945,4.0,1820,650000.0
33,2014,4.0,2820,625000.0
34,1979,4.0,3630,400000.0
35,1995,3.0,3240,604000.0
36,1944,2.0,800,440000.0
37,1992,3.0,1850,287200.0
38,1957,3.0,1960,403000.0
39,1955,3.0,2390,750000.0
40,1978,3.0,1580,335000.0
41,1974,4.0,1480,260000.0
42,1950,2.0,850,308500.0
43,1990,3.0,1770,439950.0
44,1949,2.0,1210,235000.0
45,1968,3.0,1160,315000.0
46,1977,3.0,1970,437500.0
47,1996,3.0,1930,407500.0
48,2001,3.0,1270,445700.0
49,2001,4.0,3310,838000.0
50,2000,4.0,2710,630000.0
51,1979,3.0,2910,550000.0
52,1929,3.0,2710,805000.0
53,1968,3.0,1800,284000.0
54,1976,5.0,2210,470000.0
55,1954,4.0,1920,430000.0
56,1968,4.0,2190,491500.0
57,2006,5.0,3660,785000.0
58,2008,3.0,1320,385000.0
59,2009,2.0,1630,295000.0
60,2012,4.0,3310,555000.0
61,2013,3.0,2680,459990.0
62,2007,4.0,2730,625000.0
63,2006,3.0,2540,300000.0
64,2012,4.0,2920,625000.0
65,1944,2.0,900,553000.0
66,1986,3.0,1650,379880.0
67,1973,3.0,1010,310000.0
68,2004,2.0,2680,775000.0
69,1988,3.0,2200,365000.0
70,1990,4.0,2530,331950.0
71,1980,3.0,2850,783500.0
72,1900,4.0,2280,628000.0
73,1987,3.0,1900,560000.0
74,1928,3.0,1330,900000.0
75,2000,2.0,1270,531000.0
76,1982,4.0,2170,831000.0
77,1996,4.0,2730,780000.0
78,1960,4.0,2120,755000.0
79,2003,3.0,2490,705380.0
80,1973,4.0,1990,627000.0
81,1998,4.0,3690,865000.0
82,1942,2.0,2540,580000.0
83,1978,3.0,1800,410000.0
84,1979,4.0,2340,485000.0
85,1948,2.0,2110,400000.0
86,1908,2.0,1140,549000.0
87,2005,3.0,1480,620000.0
88,2006,2.0,1410,405000.0
89,1958,2.0,1200,232000.0
90,1990,5.0,3180,800866.0
91,1949,3.0,2160,650000.0
92,1908,6.0,2920,823000.0
93,1939,3.0,2350,770000.0
94,1944,3.0,1560,524000.0
95,1960,5.0,2740,541125.0
96,1909,3.0,1680,670000.0
97,1968,5.0,3090,384900.0
98,2005,3.0,1410,406100.0
99,1971,5.0,4010,1395000.0
100,2000,4.0,3180,736500.0
101,1975,3.0,2010,570000.0
102,1961,3.0,1330,787000.0
103,1998,4.0,2370,328000.0
104,1942,5.0,1840,435000.0
105,2006,4.0,2910,499000.0
106,1963,4.0,2070,501000.0
107,1992,4.0,4340,1090000.0
108,1955,2.0,840,400000.0
109,1971,4.0,1240,220000.0
110,1924,4.0,1390,657100.0
111,2006,4.0,2310,309950.0
112,1986,3.0,1050,300000.0
113,1960,5.0,2550,525888.0
114,1902,4.0,2010,740000.0
115,1962,5.0,1120,340000.0
116,1954,3.0,2230,398750.0
117,1944,2.0,810,206000.0
118,1976,5.0,3190,1030000.0
119,1976,3.0,1670,600000.0
120,1960,4.0,1970,379950.0
121,1953,3.0,1450,287000.0
122,1999,7.0,13540,2280000.0
123,1994,3.0,1880,309950.0
124,1945,3.0,1880,600000.0
125,1930,3.0,1410,418000.0
126,1928,4.0,1480,449250.0
127,1949,2.0,1140,329950.0
128,1984,3.0,1920,245000.0
129,2008,4.0,2910,549000.0
130,1994,3.0,3240,800000.0
131,1958,3.0,1550,249950.0
132,1956,5.0,2050,210000.0
133,2000,2.0,2220,1425000.0
134,1949,2.0,1770,585000.0
135,1977,4.0,2300,615000.0
